paragem_nome,gid_DMT,gid_AMP,Situação,Designaç,Designa_1,nome_oficial,Local,Freguesia,Linhas_STC,Linhas_UNI,Zona_Andan,longitude,latitude
Rua António José de Almeida,510,0,Ativa,Tv. Pias,Tv. Pias,Tv. Pias,Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.648903814528778,41.20869350358974
Rua António José de Almeida,234,0,Ativa,Ponte Carraquinho,Ponte Carraquinho,Ponte Carraquinho,Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.644929764070845,41.20653692408176
Rua António José de Almeida,232,0,Ativa,Ponte Carraquinho,Ponte Carraquinho,Ponte Carraquinho,Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.644932357143993,41.20630296196993
Rua António José de Almeida,235,0,Ativa,Cal,Cal,Cal,Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.64326035070165,41.20510518070042
Rua António José de Almeida,236,0,Ativa,Cal,Cal,Cal,Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.64326680189096,41.205174241857435
Avenida Dr. António Macedo,239,0,Ativa,Assoc. Emp. Portugal,Assoc. Emp. Portugal,Assoc. Emp. Portugal,Avenida Dr. António Macedo,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,N/A,MTS2,-8.690258321980357,41.1956179544092
Avenida Dr. António Macedo,233,0,Ativa,Assoc. Emp. Portugal,Assoc. Emp. Portugal,Assoc. Emp. Portugal,Avenida Dr. António Macedo,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,N/A,MTS2,-8.690405344455815,41.19556721261651
Avenida Dr. António Macedo,240,0,Ativa,Exponor,Exponor,Exponor,Avenida Dr. António Macedo,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,N/A,MTS2,-8.691864408224703,41.19827379828867
Avenida Dr. António Macedo,511,0,Ativa,Exponor,Exponor,Exponor,Avenida Dr. António Macedo,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,N/A,MTS2,-8.69151936915728,41.198203046903835
Avenida Dr. António Macedo,512,0,Ativa,Rotunda da Exponor,Rotunda da Exponor,Rotunda da Exponor,Avenida Dr. António Macedo,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,N/A,MTS2,-8.692902332456072,41.20111970800049
Rua Rosas,241,0,Ativa,R. Rosas (Longa Vida),R. Rosas (Longa Vida),R. Rosas (Longa Vida),Rua Rosas,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5014, 5018",MTS2,-8.704603253477545,41.228991746613
Rua Rosas,513,0,Ativa,R. 9 de Julho,R. 9 de Julho,R. 9 de Julho,Rua Rosas,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5014, 5018",MTS2,-8.704834799454801,41.22687304178837
Rua Coronel Hélder Ribeiro,243,0,Ativa,Praia do Aterro,Praia do Aterro,Praia do Aterro,Rua Coronel Hélder Ribeiro,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5001,MTS2,-8.714371608519306,41.20797563031285
Rua Coronel Hélder Ribeiro,242,0,Ativa,Praia do Aterro,Praia do Aterro,Praia do Aterro,Rua Coronel Hélder Ribeiro,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5001,MTS2,-8.714661613364202,41.20809280792468
Travessa Padrão,245,0,Ativa,Travessa do Padrão,Travessa do Padrão,Travessa do Padrão,Travessa Padrão,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5014,MTS2,-8.694868542856756,41.21349903373048
Rua Óscar da Silva,249,0,Ativa,R. Óscar Silva,R. Óscar Silva,R. Óscar Silva,Rua Óscar da Silva,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5012, 5014, 5016, 5101",MTS2,-8.69725048596402,41.20383576887323
Rua Sol Poente,251,0,Ativa,Sol Poente,Sol Poente,Sol Poente,Rua Sol Poente,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5001, 5017",MTS2,-8.703753214039468,41.20092737948626
Rua Sol Poente,514,0,Ativa,Sol Poente,Sol Poente,Sol Poente,Rua Sol Poente,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5001,MTS2,-8.70357951277832,41.200975411582014
Rua Sol Poente,252,0,Ativa,Pedro Álvares Cabral,Sol Poente,Pedro Álvares Cabral,Rua Sol Poente,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,5017,MTS2,-8.702450480874623,41.198869985448034
