paragem_nome,gid_DMT,gid_AMP,Situação,Designaç,Designa_1,nome_oficial,Local,Freguesia,Linhas_STC,Linhas_UNI,Zona_Andan,longitude,latitude
Rua Antela,1,0,Ativa,Lavra (Junta de Freguesia),Lavra (Junta de Freguesia),Lavra (Junta de Freguesia),Rua Antela,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5101",MTS3,-8.71757765399509,41.259414148452464
Avenida Dr. Óscar Lopes,2,0,Ativa,Mar Shopping (IKEA),Mar Shopping - IKEA,Mar Shopping (IKEA),Avenida Dr. Óscar Lopes,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,"5002, 5003, 5013, 5018, 5101, 5102, 5103",MTS2,-8.689778753499244,41.20949256013632
Avenida Mário Moreira Maia,7,0,Ativa,Mar Shopping (Nascente),Mar Shopping Nascente,Mar Shopping (Nascente),Avenida Mário Moreira Maia,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 508",5009,MTS2,-8.685869496284287,41.20825388354124
Avenida Liberdade,3,0,Ativa,Praia de Leça,Praia de Leça,Praia de Leça,Avenida Liberdade,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.70436833688816,41.189311608794824
Avenida Liberdade,4,0,Ativa,Praia de Leça,Praia de Leça,Praia de Leça,Avenida Liberdade,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.704813009170195,41.18959330718378
Estrada Circunvalação,6,0,Ativa,Real,Real,Real,Estrada Circunvalação,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),205,5003,PRT2,-8.670737875997075,41.17607728010376
Rua Sobreiro,10,0,Ativa,Quatro Caminhos,Quatro Caminhos,Quatro Caminhos,Rua Sobreiro,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,"5010, 5011, 5017, 5103, 5104",PRT2,-8.651686837516012,41.18947608404916
Rua Sobreiro,11,0,Ativa,Quatro Caminhos,Quatro Caminhos,Quatro Caminhos,Rua Sobreiro,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,"5010, 5011, 5017, 5103, 5104",PRT2,-8.651682133082357,41.18971495299817
Avenida Conde,5,0,Ativa,Godinho Faria,Godinho Faria,Godinho Faria,Avenida Conde,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,"5010, 5011, 5104",MAI1,-8.611981561413112,41.193130838383176
Rua Laranjeiras,9,0,Ativa,Santos Dias,Santos Dias,Santos Dias,Rua Laranjeiras,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),604,N/A,MAI1,-8.607160755923095,41.198226150347054
Rua Padre Costa,12,0,Ativa,Cavadas,Cavadas,Cavadas,Rua Padre Costa,Sâo Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604",N/A,MAI1,-8.597217425498762,41.188659753445265
Avenida Engenheiro Duarte Pacheco,13,0,Ativa,Matosinhos (Mercado),Matosinhos (Mercado),Matosinhos (Mercado),Avenida Engenheiro Duarte Pacheco,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5003, 5008, 5010, 5011, 5015, 5016, 5017, 5103, 5104",MTS1,-8.693965315760694,41.18754046655109
Rua Araújo,17,0,Ativa,R. Estação do Araújo,R. Estação Araújo,R. Estação do Araújo,Rua Araújo,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5021",MAI1,-8.635925938984698,41.216876009373486
Rua Araújo,18,0,Ativa,R. Estação do Araújo,R. Estação Araújo,R. Estação do Araújo,Rua Araújo,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5021",MAI1,-8.635783380175607,41.21685377987047
Estrada Circunvalação,16,0,Ativa,Preciosa,Preciosa,Preciosa,Estrada Circunvalação,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),"205, 504",5003,PRT2,-8.656911460638595,41.177711626634995
Rua Padre Costa,14,0,Ativa,Cavadas,Cavadas,Cavadas,Rua Padre Costa,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604, 705",N/A,MAI1,-8.59689856626949,41.18853212785615
Avenida D. Afonso Henriques,19,0,Ativa,Carcavelos,Carcavelos,Carcavelos,Avenida D. Afonso Henriques,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),"506, 507, 13M","5007, 5008, 5010, 5012, 5015, 5017, 5103",MTS1,-8.681862148471815,41.17961588469707
Avenida D. Afonso Henriques,15,0,Ativa,Av. D. Afonso Henriques,Matosinhos (CMM),Av. D. Afonso Henriques,Avenida D. Afonso Henriques,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),"506, 507, 13M","5007, 5008, 5011, 5012, 5015, 5104",MTS1,-8.68297417022041,41.181699376179466
Avenida Mário Brito,20,0,Ativa,Freixieiro (N107),Freixieiro,Freixieiro (N107),Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)","508, 601","5004, 5009, 5012, 5013, 5101, 5102",MTS2,-8.681327562136877,41.22599931692616
Rua Gondivai,21,0,Ativa,Gondivai (Norte),Gondivai (Norte),Gondivai (Norte),Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.634864287352702,41.21377039676746
Rua Gondivai,22,0,Ativa,Gondivai (Norte),Gondivai (Norte),Gondivai (Norte),Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5021",MAI1,-8.634864826077225,41.214060930187415
Avenida Combatentes da Grande Guerra,24,0,Ativa,Esc. Sec. Boa Nova,Esc. Sec. Boa Nova,Esc. Sec. Boa Nova,Avenida Combatentes da Grande Guerra,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,5001,MTS2,-8.700820099036513,41.19310678923998
Rua Passos Manuel,25,0,Ativa,Tv. Passos Manuel,Tv. Passos Manuel,Tv. Passos Manuel,Rua Passos Manuel,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)","503, 505","5004, 5005, 5014",MTS1,-8.662808516525152,41.19612462963463
Avenida Dr. António Macedo,26,0,Ativa,Rotunda da Exponor,Rotunda da Exponor,Rotunda da Exponor,Avenida Dr. António Macedo,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,N/A,MTS2,-8.69302019278156,41.20098033432538
Rua Padre António Francisco Ramos,27,0,Ativa,R. Padre António Francisco Ramos,R. Padre António Francisco Ramos,R. Padre António Francisco Ramos,Rua Padre António Francisco Ramos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5019, 5101",MTS3,-8.716297138465306,41.26574012316428
Rua Padre António Francisco Ramos,28,0,Ativa,R. dos Mourouços,R. dos Mourouços,R. dos Mourouços,Rua Padre António Francisco Ramos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5019, 5101",MTS3,-8.717174633761378,41.2629221595639
Rua Custió,29,0,Ativa,Ponte de Moreira,Ponte de Moreira,Ponte de Moreira,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.645133732045714,41.235354093531534
Rua Custió,30,0,Ativa,Ponte de Moreira,Ponte de Moreira,Ponte de Moreira,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.644243946473273,41.23539858733551
Largo Souto,31,0,Ativa,Custóias,Custóias,Custóias,Largo Souto,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.641607276566818,41.203071620316095
Largo Souto,32,0,Ativa,Custóias (Largo),Custóias,Custóias (Largo),Largo Souto,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5021",MAI1,-8.64258733639122,41.20277025676752
Largo Souto,33,0,Ativa,Custóias (Largo),Custóias,Custóias (Largo),Largo Souto,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)","505, 508","5002, 5021, 5102",MAI1,-8.642095184197673,41.20233423025525
Rua Cândido dos Reis,35,0,Ativa,Cândido dos Reis (Metro),Cândido Reis (Metro),Cândido dos Reis (Metro),Rua Cândido dos Reis,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5015, 5102",MAI1,-8.649804575615871,41.20117716830222
Rua Cândido dos Reis,34,0,Ativa,Cândido dos Reis (Metro),Cândido Reis (Metro),Cândido dos Reis (Metro),Rua Cândido dos Reis,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5015, 5102",MAI1,-8.64955570836077,41.20127936205088
Rua França Borges,36,0,Ativa,Est. Prisional Custóias,Est. Prisional Custóias,Est. Prisional Custóias,Rua França Borges,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.636607096046829,41.206490101566416
Rua Domingos Bomtempo,37,0,Ativa,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Rua Domingos Bomtempo,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.638078715138983,41.204951476804666
Rua Domingos Bomtempo,38,0,Ativa,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Rua Domingos Bomtempo,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.638111970912902,41.2047975029697
Rua António José de Almeida,39,0,Ativa,Pias (Metro),Pias (Metro),Pias (Metro),Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.647349914482747,41.20774094631288
Rua António José de Almeida,40,0,Ativa,Pias (Metro),Pias (Metro),Pias (Metro),Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.647263392821946,41.20766974155448
Rua Custió,41,0,Ativa,Custió (Metro),Custió (Metro) (site) / Pontelhas (postalete),Custió (Metro),Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.638814681692626,41.222359277771886
Rua Gondivai,43,0,Ativa,Bombeiros V. Leça do Balio,B. V. Leça do Balio,Bombeiros V. Leça do Balio,Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5023",MAI1,-8.633301983783793,41.21096723398389
Rua Gondivai,42,0,Ativa,Bombeiros V. Leça do Balio,B. V. Leça do Balio,Bombeiros V. Leça do Balio,Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.63324696864301,41.21119684741998
Rua Gondivai,44,0,Ativa,Gondivai (Sul),Gondivai (Sul),Gondivai (Sul),Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","505, 602, 3M",5015,MAI1,-8.633120467956177,41.20804092597659
Rua Nova do Seixo,45,0,Ativa,Padrão da Légua,Padrão da Légua,Padrão da Légua,Rua Nova do Seixo,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)","508, 602, 3M","5002, 5015, 5017, 5103",MAI1,-8.633585477654014,41.191822110079684
Rua Padre António Francisco Ramos,46,0,Ativa,R. dos Mourouços,R. dos Mourouços,R. dos Mourouços,Rua Padre António Francisco Ramos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5019, 5101",MTS3,-8.71746243474294,41.26257181671426
Rua Corgo,47,0,Ativa,Lavra (Cemitério),Lavra (Cemitério),Lavra (Cemitério),Rua Corgo,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5020",MTS3,-8.718137919035957,41.25806271086366
Rua Corgo,48,0,Ativa,Lavra (Cemitério),Lavra (Cemitério),Lavra (Cemitério),Rua Corgo,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5020",MTS3,-8.718136583992573,41.25820941896952
Rua Castanheiros,49,0,Ativa,R. dos Castanheiros,R. dos Castanheiros,R. dos Castanheiros,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.711635117256142,41.25642575896311
Rua Castanheiros,50,0,Ativa,R. dos Castanheiros,R. dos Castanheiros,R. dos Castanheiros,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.711377119969745,41.25614118246236
Rua Castanheiros,51,0,Ativa,Rua da Brévia,Rua da Brévia,Rua da Brévia,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.7093555986445,41.2544478405096
Rua Castanheiros,52,0,Ativa,Rua da Brévia,Rua da Brévia,Rua da Brévia,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.709612612342408,41.25450017735466
Rua Castanheiros,53,0,Ativa,Rua da Cruz,Rua da Cruz,Rua da Cruz,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.706819209270858,41.25329590579798
Rua Dr. José Domingues dos Santos,54,0,Ativa,Paiço,Paiço,Paiço,Rua Dr. José Domingues dos Santos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5016, 5022",VCD8,-8.689016683039444,41.25403057778848
Avenida Mário Brito,55,0,Ativa,Nó do Freixieiro,Nó do Freixieiro,Nó do Freixieiro,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,5101,MTS2,-8.689107857096957,41.21898320526849
Avenida Mário Brito,56,0,Ativa,Oliveiras,Oliveiras,Oliveiras,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,5101,MTS2,-8.684999956263471,41.222585125925285
Avenida Mário Brito,57,0,Ativa,R. Oriental,Freixieiro,R. Oriental,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5009, 5101",MTS2,-8.681814544267148,41.22534912647707
Avenida Mário Brito,58,0,Ativa,Freixieiro (E.N.107),Freixieiro (E.N.107),Freixieiro (E.N.107),Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5013, 5102",MTS2,-8.681124478057926,41.22596005480212
Avenida Mário Brito,59,0,Ativa,Telheira,Telheira,Telheira,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5013, 5102",VCD8,-8.67541937358251,41.230298160390554
Avenida Mário Brito,61,0,Ativa,Av. Mário Brito,Barreiro,Av. Mário Brito,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5013, 5102",VCD8,-8.670260783671724,41.23387912009545
Avenida Mário Brito,62,0,Ativa,Av. Mário Brito,Barreiro,Av. Mário Brito,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5013, 5102",VCD8,-8.670533354877115,41.233867043184475
Avenida Mário Brito,63,0,Ativa,Telheira,Telheira,Telheira,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5013, 5102",VCD8,-8.675320087289972,41.230503905278276
Avenida Mário Brito,64,0,Ativa,Oliveiras,Oliveiras,Oliveiras,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5012, 5101",MTS2,-8.685211284676683,41.22257181941923
Avenida Mário Brito,65,0,Ativa,Nó do Freixieiro,Nó do Freixieiro,Nó do Freixieiro,Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",508,"5012, 5101",MTS2,-8.68936152145811,41.21895989733173
Rua Belchior Robles,66,0,Ativa,Farol da Boa Nova,Farol da Boa Nova,Farol da Boa Nova,Rua Belchior Robles,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5001,MTS2,-8.709864582246306,41.20163975569206
Rua Belchior Robles,67,0,Ativa,Farol da Boa Nova,Farol da Boa Nova,Farol da Boa Nova,Rua Belchior Robles,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5001, 5017",MTS2,-8.710210969150552,41.201348017548284
Rua Passadouro,69,0,Ativa,Ramirez,Ramirez,Ramirez,Rua Passadouro,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5016,MTS3,-8.702979479025844,41.239326883859526
Rua Ofélia da Cruz Costa,70,0,Ativa,Praia do Funtão,Praia do Funtão,Praia do Funtão,Rua Ofélia da Cruz Costa,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5019, 5101",MTS3,-8.723174219644442,41.257317120107835
Rua Almeiriga Norte,71,0,Ativa,Cabo do Mundo,Cabo do Mundo,Cabo do Mundo,Rua Almeiriga Norte,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5009, 5101",MTS2,-8.716336743292022,41.225277135345316
Rua Almeiriga Norte,72,0,Ativa,Cabo do Mundo (Kartódromo),Cabo do Mundo (Kartódromo),Cabo do Mundo (Kartódromo),Rua Almeiriga Norte,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5009",MTS2,-8.714494729823762,41.22223052321315
Rua Bouça da Cavadinha,73,0,Ativa,Tv. Arroteia,Tv. Arroteia,Tv. Arroteia,Rua Bouça da Cavadinha,Sâo Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 603, 604",N/A,MAI1,-8.597354657618647,41.185059465506164
Rua Regadio,74,0,Ativa,Regadio,Regadio,Regadio,Rua Regadio,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),505,"5002, 5006, 5102",MTS1,-8.67705929130858,41.191129756055055
Avenida Serpa Pinto,75,0,Ativa,Godinho,Godinho,Godinho,Avenida Serpa Pinto,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),"500, 502, 506, 507, 13M","5001, 5002, 5003, 5007, 5010, 5011, 5012, 5013, 5014, 5015, 5016, 5017, 5101, 5102, 5103, 5104",MTS1,-8.692203890936911,41.18180111902485
Rua Regadio,76,0,Ativa,Regadio,Regadio,Regadio,Rua Regadio,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),505,"5002, 5005, 5102",MTS1,-8.677121177103658,41.191052048536264
Rua Padre Alexandre Milheiró,77,0,Ativa,Padre Alexandre Milheiro,Padre Alexandre Milheiro,Padre Alexandre Milheiro,Rua Padre Alexandre Milheiró,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,"5002, 5102",MTS1,-8.67322270666139,41.19684224576616
Rua Padre Alexandre Milheiró,78,0,Ativa,Monte Castêlo,Monte Castêlo,Monte Castêlo,Rua Padre Alexandre Milheiró,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,"5002, 5005, 5102",MTS1,-8.673693030276647,41.19793998655807
Rua Padre Alexandre Milheiró,79,0,Ativa,Monte Castêlo,Monte Castêlo,Monte Castêlo,Rua Padre Alexandre Milheiró,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,"5002, 5102",MTS1,-8.67279479799867,41.1983271176959
Rua Monte Xisto,80,0,Ativa,Alto do Monte Xisto,Alto do Monte Xisto,Alto do Monte Xisto,Rua Monte Xisto,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,"5002, 5102",MTS1,-8.671690381653331,41.19908152337945
Rua Lomba,81,0,Ativa,Lomba (Ribeiro),Lomba (Ribeiro),Lomba (Ribeiro),Rua Lomba,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,"5004, 5009, 5014, 5102",MTS1,-8.666197860959889,41.20417591766715
Rua Lomba,82,0,Ativa,Lomba (Ribeiro),Ribeiro,Lomba (Ribeiro),Rua Lomba,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",503,"5004, 5009, 5014, 5102",MTS1,-8.666497445344193,41.20447542505004
Rua Teófilo Carvalho dos Santos,83,0,Ativa,Teófilo Carvalho Santos,Teófilo Carvalho Santos,Teófilo Carvalho Santos,Rua Teófilo Carvalho dos Santos,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,"5004, 5009",MTS1,-8.667783481263983,41.20610578691347
Rua Teófilo Carvalho dos Santos,84,0,Ativa,Teófilo Carvalho Santos,Teófilo Carvalho Santos,Teófilo Carvalho Santos,Rua Teófilo Carvalho dos Santos,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,"5004, 5009",MTS1,-8.668040971698224,41.20611531160972
Rua Arroteia,85,0,Ativa,Feliciana,Feliciana,Feliciana,Rua Arroteia,Sâo Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 603, 604",N/A,MAI1,-8.596956473119992,41.18645441757605
Rua Padre Costa,86,0,Ativa,ISCAP,ISCAP,ISCAP,Rua Padre Costa,Sâo Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604",N/A,MAI1,-8.599071050832643,41.18888397024956
Rua Padre Costa,87,0,Ativa,ISCAP,ISCAP,ISCAP,Rua Padre Costa,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604, 705",N/A,MAI1,-8.598824486429557,41.189055547694636
Rua Padre Costa,88,0,Ativa,Dr. Barros,Dr. Barros,Dr. Barros,Rua Padre Costa,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604, 705",N/A,MAI1,-8.601625119034454,41.189390829914736
Rua Padre Costa,89,0,Ativa,Dr. Barros,Dr. Barros,Dr. Barros,Rua Padre Costa,Sâo Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604",N/A,MAI1,-8.601338715972433,41.18919997258424
Rua Padre Costa,90,0,Ativa,Oliveira Gaio,Oliveira Gaio,Oliveira Gaio,Rua Padre Costa,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604, 705",N/A,MAI1,-8.603886910625022,41.189830559163724
Rua Padre Costa,91,0,Ativa,Oliveira Gaio,Oliveira Gaio,Oliveira Gaio,Rua Padre Costa,Sâo Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604",N/A,MAI1,-8.603388961370708,41.18965730057767
Rua Padre Costa,92,0,Ativa,Moalde,Moalde,Moalde,Rua Padre Costa,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"604, 705",N/A,MAI1,-8.60607314510115,41.1905580550986
Rua Padre Costa,93,0,Ativa,Moalde,Moalde,Moalde,Rua Padre Costa,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"604, 705",N/A,MAI1,-8.606401708767875,41.190597980119215
Rua José Oliveira Maia,94,0,Ativa,José Oliveira Maia,José Oliveira Maia,José Oliveira Maia,Rua José Oliveira Maia,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5016",MTS3,-8.700910438562625,41.24956731200616
Rua José Oliveira Maia,95,0,Ativa,José Oliveira Maia,José Oliveira Maia,José Oliveira Maia,Rua José Oliveira Maia,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5016",MTS3,-8.700678820622857,41.24954807481975
Rua José Oliveira Maia,96,0,Ativa,A28 (Viaduto),A28 (Viaduto),A28 (Viaduto),Rua José Oliveira Maia,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5016",VCD8,-8.696542142743581,41.25058373386509
Rua Custió,98,0,Ativa,Sta. Luzia,Sta. Luzia,Sta. Luzia,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.642933980444017,41.23363980261476
Rua Custió,97,0,Ativa,Sta. Luzia,Sta. Luzia,Sta. Luzia,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.642826539194557,41.23380189054788
Rua Custió,99,0,Ativa,Monte Grande,Monte Grande,Monte Grande,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.64244495066045,41.229713772751246
Rua Custió,100,0,Ativa,Manso,Manso,Manso,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.640103668265926,41.22628040982494
Rua José Oliveira Maia,101,0,Ativa,A28 (Viaduto),A28 (Viaduto),A28 (Viaduto),Rua José Oliveira Maia,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5016",VCD8,-8.696350386823338,41.25062295426912
Rua Custió,102,0,Ativa,Custió (Qta. Sto. António),Custió,Custió (Qta. Sto. António),Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.63974612228607,41.22523617223879
Rua Custió,103,0,Ativa,Custió (Qta. Sto. António),Custió,Custió (Qta. Sto. António),Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.639378072587752,41.22446360853946
Rua Passadouro,104,0,Ativa,Ramirez,Ramirez,Ramirez,Rua Passadouro,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5016,MTS3,-8.702696833368611,41.2388406751533
Rua Nova do Seixo,105,0,Ativa,C. Seixo (Norte),C. Seixo (Norte),C. Seixo (Norte),Rua Nova do Seixo,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)","508, 602, 3M","5002, 5017, 5103",MAI1,-8.632912831008145,41.1895222900605
Avenida Arquitecto Fernando Távora,106,0,Ativa,Infanta D. Mafalda,Infanta D. Mafalda,Infanta D. Mafalda,Avenida Arquitecto Fernando Távora,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5002, 5009, 5018",MTS2,-8.683448180181752,41.213124585827785
Avenida Arquitecto Fernando Távora,107,0,Ativa,Infanta D. Mafalda,Infanta D. Mafalda,Infanta D. Mafalda,Avenida Arquitecto Fernando Távora,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5002, 5009, 5018",MTS2,-8.683249412577718,41.21315380890474
Avenida Arquitecto Fernando Távora,108,0,Ativa,Fernando Távora,Fernando Távora,Fernando Távora,Avenida Arquitecto Fernando Távora,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5002, 5009, 5018",MTS2,-8.683246364903853,41.21055413408073
Avenida Arquitecto Fernando Távora,109,0,Ativa,Fernando Távora,Fernando Távora,Fernando Távora,Avenida Arquitecto Fernando Távora,"Santa Cruz do Bispo (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",601,"5002, 5009, 5018",MTS2,-8.683539847201258,41.21074361547106
