lat,lon,school,hospital,clinic,pharmacy,supermarket,bakery,cafe,restaurant,park,transport,school_pct,hospital_pct,clinic_pct,pharmacy_pct,supermarket_pct,bakery_pct,cafe_pct,restaurant_pct,park_pct,transport_pct,accessibility_score
41.17419058681236,-8.678176145060268,3,1,13,1,8,0,28,24,286,102,67.78969270166453,94.15012804097312,97.91133162612036,62.788092189500645,95.15845070422534,27.26472471190781,95.14244558258643,87.83610755441741,95.6786171574904,80.40973111395647,80.41293213828425
41.17418724962304,-8.676983980821257,4,1,12,1,8,0,27,11,359,97,73.70358514724713,94.15012804097312,97.5192061459667,62.788092189500645,95.15845070422534,27.26472471190781,94.91837387964148,81.66613316261203,97.31914212548016,77.64084507042254,80.21286811779768
41.17418390009466,-8.675791816783011,5,1,10,2,7,0,20,9,536,90,80.03361075544174,94.15012804097312,96.606914212548,81.25800256081946,92.61363636363636,27.26472471190781,91.84539052496798,79.1533290653009,99.19974391805377,72.99135723431498,81.5116837387964
41.17418053822721,-8.67459965294627,6,1,9,2,9,0,17,6,697,94,85.59539052496798,94.15012804097312,96.12676056338029,81.25800256081946,97.10307298335468,27.26472471190781,90.62900128040972,72.08706786171575,99.5518565941101,75.6802176696543,81.94462227912932
41.1741771640207,-8.673407489311774,6,2,9,2,8,0,17,3,854,102,85.59539052496798,98.199423815621,96.12676056338029,81.25800256081946,95.15845070422534,27.26472471190781,90.62900128040972,57.10627400768246,99.75992317541613,80.40973111395647,81.15076824583868
41.17517380757776,-8.70916849928857,0,0,0,0,0,0,0,0,0,1,14.644686299615877,45.49455825864276,31.594110115236873,23.983674775928296,14.18854033290653,27.26472471190781,12.71606914212548,11.45966709346991,9.290973111395646,0.13604353393085789,19.077304737516005
41.1751272649253,-8.69128573573881,9,0,10,3,4,4,46,93,191,61,94.36619718309859,45.49455825864276,96.606914212548,87.71606914212549,79.44142125480154,92.30153649167734,97.19910371318822,97.26312419974393,93.3898847631242,46.054737516005126,82.98335467349553
41.17512406336531,-8.690093553009559,9,0,12,3,6,4,49,95,226,71,94.36619718309859,45.49455825864276,97.5192061459667,87.71606914212549,89.77272727272727,92.30153649167734,97.39916773367477,97.351152368758,94.20614596670934,55.921895006402046,85.20486555697822
41.1751208494658,-8.688901370472934,9,0,13,3,6,3,50,95,237,81,94.36619718309859,45.49455825864276,97.91133162612036,87.71606914212549,89.77272727272727,88.60435339308579,97.48719590268887,97.351152368758,94.47823303457106,65.85307298335468,85.90348911651728
41.17511762322677,-8.687709188129672,9,0,14,4,8,3,50,89,246,77,94.36619718309859,45.49455825864276,98.18341869398208,92.54961587708067,95.15845070422534,88.60435339308579,97.48719590268887,97.07106274007683,94.6382842509603,62.259923175416134,86.58130601792574
41.17511438464821,-8.686517005980516,9,0,15,4,10,3,54,85,239,91,94.36619718309859,45.49455825864276,98.51152368758002,92.54961587708067,98.57554417413571,88.60435339308579,97.91933418693982,96.87900128040972,94.51824583866836,73.66357234314981,88.10819462227913
41.17511113373015,-8.685324824026207,7,0,15,4,10,2,51,79,236,97,90.10883482714469,45.49455825864276,98.51152368758002,92.54961587708067,98.57554417413571,80.60979513444302,97.63924455825864,96.59891165172856,94.4302176696543,77.64084507042254,87.2159090909091
41.17510787047257,-8.684132642267487,7,0,15,4,10,1,47,75,236,105,90.10883482714469,45.49455825864276,98.51152368758002,92.54961587708067,98.57554417413571,64.7887323943662,97.27912932138284,96.47087067861716,94.4302176696543,81.94622279129321,86.01552496798976
41.17510459487551,-8.682940460705094,6,0,15,3,9,1,44,74,219,107,85.59539052496798,45.49455825864276,98.51152368758002,87.71606914212549,97.10307298335468,64.7887323943662,97.09507042253522,96.44686299615877,93.99807938540333,83.01056338028168,84.97599231754161
41.17510130693894,-8.681748279339772,5,0,15,3,10,1,38,64,224,108,80.03361075544174,45.49455825864276,98.51152368758002,87.71606914212549,98.57554417413571,64.7887323943662,96.47887323943662,95.96670934699104,94.13412291933419,83.62676056338029,84.53265044814341
41.175098006662886,-8.680556098172259,5,0,15,3,9,1,35,57,251,119,80.03361075544174,45.49455825864276,98.51152368758002,87.71606914212549,97.10307298335468,64.7887323943662,96.21478873239437,94.8703585147247,94.7903329065301,87.55601792573624,84.70790653008963
41.17509469404735,-8.679363917203299,4,0,14,3,9,1,30,39,272,108,73.70358514724713,45.49455825864276,98.18341869398208,87.71606914212549,97.10307298335468,64.7887323943662,95.52656850192062,93.0937900128041,95.27048655569781,83.62676056338029,83.45070422535211
41.175091369092335,-8.67817173643363,5,1,14,2,9,0,32,27,273,112,80.03361075544174,94.15012804097312,98.18341869398208,81.25800256081946,97.10307298335468,27.26472471190781,95.87868117797696,89.42061459667093,95.30249679897568,85.17125480153649,84.37660051216389
41.17508803179785,-8.676979555863994,5,1,12,2,9,0,30,19,307,110,80.03361075544174,94.15012804097312,97.5192061459667,81.25800256081946,97.10307298335468,27.26472471190781,95.52656850192062,86.69974391805377,96.26280409731113,84.45102432778489,84.02688860435339
41.17508468216391,-8.675787375495133,5,1,12,2,8,0,25,11,440,108,80.03361075544174,94.15012804097312,97.5192061459667,81.25800256081946,95.15845070422534,27.26472471190781,94.16613316261203,81.66613316261203,98.67157490396927,83.62676056338029,83.35147247119077
41.1750813201905,-8.674595195327788,5,2,9,3,9,0,17,9,647,104,80.03361075544174,98.199423815621,96.12676056338029,87.71606914212549,97.10307298335468,27.26472471190781,90.62900128040972,79.1533290653009,99.4078104993598,81.46606914212549,83.7099871959027
41.175077945877646,-8.673403015362698,5,2,9,3,10,0,17,3,769,107,80.03361075544174,98.199423815621,96.12676056338029,87.71606914212549,98.57554417413571,27.26472471190781,90.62900128040972,57.10627400768246,99.66389244558259,83.01056338028168,81.83258642765686
41.17507455922534,-8.672210835600605,6,2,8,2,9,0,19,3,949,132,85.59539052496798,98.199423815621,95.69462227912933,81.25800256081946,97.10307298335468,27.26472471190781,91.42925736235595,57.10627400768246,99.8719590268886,91.21318822023048,82.47359154929578
41.17603123751583,-8.692473705810459,10,0,10,3,4,4,45,105,217,63,95.73463508322664,45.49455825864276,96.606914212548,87.71606914212549,79.44142125480154,92.30153649167734,97.15108834827144,97.7112676056338,93.91005121638925,48.05537772087068,83.41229193341869
41.17602804819486,-8.69128150655784,10,0,15,3,5,5,50,109,236,63,95.73463508322664,45.49455825864276,98.51152368758002,87.71606914212549,85.72343149807938,94.54225352112677,97.48719590268887,97.9033290653009,94.4302176696543,48.05537772087068,84.55985915492957
41.17602484653397,-8.69008930749711,10,0,16,3,6,5,54,110,253,77,95.73463508322664,45.49455825864276,98.86363636363636,87.71606914212549,89.77272727272727,94.54225352112677,97.91933418693982,97.9673495518566,94.83034571062741,62.259923175416134,86.51008322663253
41.17602163253317,-8.688897108629018,10,0,16,4,7,5,56,112,260,93,95.73463508322664,45.49455825864276,98.86363636363636,92.54961587708067,92.61363636363636,94.54225352112677,97.99135723431498,98.05537772087067,94.99039692701665,74.95998719590268,88.57954545454545
41.17601840619246,-8.687704909954297,10,0,17,4,8,5,59,108,268,107,95.73463508322664,45.49455825864276,99.15973111395647,92.54961587708067,95.15845070422534,94.54225352112677,98.27944942381562,97.83130601792574,95.15845070422534,83.01056338028168,89.6919014084507
41.17601516751184,-8.686512711473695,9,0,18,4,9,4,63,103,265,109,94.36619718309859,45.49455825864276,99.47183098591549,92.54961587708067,97.10307298335468,92.30153649167734,98.54353393085788,97.63924455825864,95.07842509603073,84.106914212548,89.66549295774647
41.176011916491305,-8.685320513187948,10,0,18,4,10,4,59,94,262,107,95.73463508322664,45.49455825864276,99.47183098591549,92.54961587708067,98.57554417413571,92.30153649167734,98.27944942381562,97.31113956466069,95.03040973111395,83.01056338028168,89.77592829705507
41.176008653130886,-8.6841283150978,11,0,18,4,10,3,53,85,256,109,96.91101152368759,45.49455825864276,99.47183098591549,92.54961587708067,98.57554417413571,88.60435339308579,97.83130601792574,96.87900128040972,94.90236875800257,84.106914212548,89.5326504481434
41.17600537743058,-8.682936117203989,8,0,15,4,11,2,49,80,247,115,92.78969270166453,45.49455825864276,98.51152368758002,92.54961587708067,99.48783610755441,80.60979513444302,97.39916773367477,96.65492957746478,94.68629961587708,86.2916133162612,88.44750320102432
41.1760020893904,-8.681743919507259,7,0,15,4,10,2,49,73,250,129,90.10883482714469,45.49455825864276,98.51152368758002,92.54961587708067,98.57554417413571,80.60979513444302,97.39916773367477,96.398847631242,94.76632522407171,90.32490396927017,88.47391165172854
41.17599878901032,-8.68055172200835,6,0,15,4,10,2,39,61,254,131,85.59539052496798,45.49455825864276,98.51152368758002,92.54961587708067,98.57554417413571,80.60979513444302,96.5669014084507,95.79065300896286,94.85435339308579,90.94910371318822,87.94974391805377
41.175995476290375,-8.679359524708003,5,0,14,3,10,2,34,42,269,118,80.03361075544174,45.49455825864276,98.18341869398208,87.71606914212549,98.57554417413571,80.60979513444302,96.11875800256082,93.23783610755441,95.19846350832266,87.30793854033291,86.24759923175417
41.17599215123059,-8.678167327606957,5,1,14,2,10,0,31,27,280,122,80.03361075544174,94.15012804097312,98.18341869398208,81.25800256081946,98.57554417413571,27.26472471190781,95.71062740076825,89.42061459667093,95.4865556978233,88.47631241997439,84.85595390524968
41.17598881383091,-8.676975130705955,5,1,13,2,10,0,31,25,299,124,80.03361075544174,94.15012804097312,97.91133162612036,81.25800256081946,98.57554417413571,27.26472471190781,95.71062740076825,88.10819462227913,96.0147247119078,89.03649167733676,84.80633802816901
41.1759854640914,-8.67578293400574,6,1,11,2,10,0,26,16,350,120,85.59539052496798,94.15012804097312,97.04705505761844,81.25800256081946,98.57554417413571,27.26472471190781,94.598271446863,85.78745198463508,97.07106274007683,87.86811779769526,84.92157490396927
41.17598210201203,-8.67459073750705,6,2,12,3,10,1,20,10,505,120,85.59539052496798,98.199423815621,97.5192061459667,87.71606914212549,98.57554417413571,64.7887323943662,91.84539052496798,80.57778489116517,99.13572343149808,87.86811779769526,89.18213828425095
41.17597872759282,-8.673398541210625,5,2,8,3,10,1,22,6,673,117,80.03361075544174,98.199423815621,95.69462227912933,87.71606914212549,98.57554417413571,64.7887323943662,92.85371318822023,72.08706786171575,99.49583866837388,87.07586427656851,87.65204865556979
41.17597534083378,-8.672206345117209,6,2,8,3,8,2,20,4,838,131,85.59539052496798,98.199423815621,95.69462227912933,87.71606914212549,95.15845070422534,80.60979513444302,91.84539052496798,63.956466069142124,99.74391805377721,90.94910371318822,88.94686299615879
41.17597194173492,-8.67101414922754,7,2,6,1,7,2,22,4,980,154,90.10883482714469,98.199423815621,94.49423815620999,62.788092189500645,92.61363636363636,80.60979513444302,92.85371318822023,63.956466069142124,99.90396927016644,96.70294494238156,87.22311139564661
41.176963236240574,-8.70439165900995,0,0,0,0,0,0,0,0,0,1,14.644686299615877,45.49455825864276,31.594110115236873,23.983674775928296,14.18854033290653,27.26472471190781,12.71606914212548,11.45966709346991,9.290973111395646,0.13604353393085789,19.077304737516005
41.17695709186411,-8.7020072242682,0,0,0,0,0,0,2,2,5,3,14.644686299615877,45.49455825864276,31.594110115236873,23.983674775928296,14.18854033290653,27.26472471190781,44.97439180537772,48.015364916773365,48.127400768245835,0.27208706786171577,29.855953905249674
41.176935197825365,-8.693661708545836,10,0,10,3,3,7,51,115,233,74,95.73463508322664,45.49455825864276,96.606914212548,87.71606914212549,70.04641485275287,96.1667733674776,97.63924455825864,98.19142125480154,94.32618437900128,59.042893725992315,84.09651088348271
41.1769320207442,-8.692469492769826,10,0,12,3,4,7,57,117,259,79,95.73463508322664,45.49455825864276,97.5192061459667,87.71606914212549,79.44142125480154,96.1667733674776,98.0713828425096,98.27944942381562,94.96638924455826,63.99647887323944,85.73863636363637
41.17692883132271,-8.691277277184975,12,0,16,3,5,8,60,120,282,93,97.7352752880922,45.49455825864276,98.86363636363636,87.71606914212549,85.72343149807938,96.4628681177977,98.36747759282972,98.4314980793854,95.550576184379,74.95998719590268,87.93053777208708
41.17692562956092,-8.690085061792029,12,0,16,3,7,9,63,123,302,103,97.7352752880922,45.49455825864276,98.86363636363636,87.71606914212549,92.61363636363636,96.77496798975672,98.54353393085788,98.52752880921895,96.13476312419974,80.96991037131882,89.33738796414853
41.17692241545883,-8.688892846591726,12,0,18,4,8,7,60,117,314,111,97.7352752880922,45.49455825864276,99.47183098591549,92.54961587708067,95.15845070422534,96.1667733674776,98.36747759282972,98.27944942381562,96.398847631242,84.81914212548016,90.44414212548017
41.17691918901642,-8.687700631584807,12,0,20,4,8,8,65,118,317,111,97.7352752880922,45.49455825864276,99.83194622279129,92.54961587708067,95.15845070422534,96.4628681177977,98.70358514724713,98.31946222791294,96.43085787451984,84.81914212548016,90.55057618437901
41.17691595023372,-8.686508416772014,12,0,18,5,8,8,67,114,313,115,97.7352752880922,45.49455825864276,99.47183098591549,96.13476312419974,95.15845070422534,96.4628681177977,98.84763124199743,98.11139564660691,96.38284250960308,86.2916133162612,91.00912291933417
41.17691269911074,-8.68531620215409,13,0,18,5,9,7,68,103,305,117,98.24743918053778,45.49455825864276,99.47183098591549,96.13476312419974,97.10307298335468,96.1667733674776,98.95166453265045,97.63924455825864,96.22279129321383,87.07586427656851,91.25080025608193
41.17690943564747,-8.684123987731773,12,0,18,5,10,6,61,99,285,121,97.7352752880922,45.49455825864276,99.47183098591549,96.13476312419974,98.57554417413571,95.75864276568502,98.44750320102432,97.53521126760563,95.62259923175415,88.1802176696543,91.29561459667094
41.17690615984393,-8.682931773505805,12,0,18,6,11,2,56,89,282,125,97.7352752880922,45.49455825864276,99.47183098591549,98.37548015364916,99.48783610755441,80.60979513444302,97.99135723431498,97.07106274007683,95.550576184379,89.28457106274008,90.10723431498079
41.17690287170011,-8.681739559476927,8,0,18,6,11,2,53,79,277,139,92.78969270166453,45.49455825864276,99.47183098591549,98.37548015364916,99.48783610755441,80.60979513444302,97.83130601792574,96.59891165172856,95.39852752880921,92.57362355953906,89.86315620998721
41.176899571216026,-8.680547345645879,8,0,16,4,11,2,43,63,280,144,92.78969270166453,45.49455825864276,98.86363636363636,92.54961587708067,99.48783610755441,80.60979513444302,96.99903969270166,95.9106914212548,95.4865556978233,93.75800256081946,89.1949423815621
41.17689625839167,-8.679355132013404,4,0,15,3,10,2,38,42,277,132,73.70358514724713,45.49455825864276,98.51152368758002,87.71606914212549,98.57554417413571,80.60979513444302,96.47887323943662,93.23783610755441,95.39852752880921,91.21318822023048,86.09395006402049
41.17689293322708,-8.678162918580242,6,1,14,2,10,1,34,28,286,132,85.59539052496798,94.15012804097312,98.18341869398208,81.25800256081946,98.57554417413571,64.7887323943662,96.11875800256082,90.50896286811779,95.6786171574904,91.21318822023048,89.6070742637644
41.17688959572223,-8.676970705347133,6,1,13,2,10,1,33,26,298,132,85.59539052496798,94.15012804097312,97.91133162612036,81.25800256081946,98.57554417413571,64.7887323943662,96.00672215108835,88.62836107554418,95.98271446862996,91.21318822023048,89.41101152368758
41.176886245877135,-8.67577849231482,5,1,12,2,10,1,26,16,322,130,80.03361075544174,94.15012804097312,97.5192061459667,81.25800256081946,98.57554417413571,64.7887323943662,94.598271446863,85.78745198463508,96.50288092189501,90.64500640204865,88.38588348271446
41.17688288369182,-8.674586279484044,7,2,12,2,9,1,23,12,397,141,90.10883482714469,98.199423815621,97.5192061459667,81.25800256081946,97.10307298335468,64.7887323943662,93.2618437900128,82.48239436619718,98.07938540332907,92.94974391805377,89.57506402048656
41.176879509166255,-8.673394066855543,8,2,9,3,9,2,24,10,516,139,92.78969270166453,98.199423815621,96.12676056338029,87.71606914212549,97.10307298335468,80.60979513444302,93.68597951344431,80.57778489116517,99.18373879641486,92.57362355953906,91.85659411011525
41.17687612230047,-8.672201854430062,8,2,7,3,8,2,20,5,662,135,92.78969270166453,98.199423815621,95.31049935979513,87.71606914212549,95.15845070422534,80.60979513444302,91.84539052496798,68.90204865556979,99.47183098591549,91.83738796414853,90.18405889884765
41.17687272309447,-8.671009642208341,9,2,6,2,7,2,20,5,837,149,94.36619718309859,98.199423815621,94.49423815620999,81.25800256081946,92.61363636363636,80.60979513444302,91.84539052496798,68.90204865556979,99.72791293213828,95.06241997439182,89.70790653008962
41.17686931154826,-8.669817430191117,9,2,7,2,6,2,20,4,976,165,94.36619718309859,98.199423815621,95.31049935979513,81.25800256081946,89.77272727272727,80.60979513444302,91.84539052496798,63.956466069142124,99.88796414852753,99.03169014084507,89.42381562099874
41.17686588766184,-8.668625218379136,9,2,7,1,7,3,20,3,1104,167,94.36619718309859,98.199423815621,95.31049935979513,62.788092189500645,92.61363636363636,88.60435339308579,91.84539052496798,57.10627400768246,99.93597951344431,99.19974391805377,87.99695902688862
41.17787916577288,-8.710348780830927,0,0,0,0,0,0,0,0,0,1,14.644686299615877,45.49455825864276,31.594110115236873,23.983674775928296,14.18854033290653,27.26472471190781,12.71606914212548,11.45966709346991,9.290973111395646,0.13604353393085789,19.077304737516005
41.177867074084965,-8.70557984308834,0,0,0,0,0,0,0,0,0,1,14.644686299615877,45.49455825864276,31.594110115236873,23.983674775928296,14.18854033290653,27.26472471190781,12.71606914212548,11.45966709346991,9.290973111395646,0.13604353393085789,19.077304737516005
41.17785168180782,-8.699618675033616,0,0,2,0,1,2,16,44,51,13,14.644686299615877,45.49455825864276,80.01760563380282,23.983674775928296,37.32394366197183,80.60979513444302,90.10083226632523,93.31786171574905,82.17029449423816,3.745198463508323,55.14084507042254
41.17783914585273,-8.694849743946444,10,0,9,3,4,9,50,125,248,66,95.73463508322664,45.49455825864276,96.12676056338029,87.71606914212549,79.44142125480154,96.77496798975672,97.48719590268887,98.68758002560818,94.71830985915493,50.888284250960304,84.30697823303457
41.17783598101216,-8.693657511647022,11,0,12,3,4,9,53,125,273,74,96.91101152368759,45.49455825864276,97.5192061459667,87.71606914212549,79.44142125480154,96.77496798975672,97.83130601792574,98.68758002560818,95.30249679897568,59.042893725992315,85.47215108834828
41.17783280383087,-8.692465279538029,12,0,15,3,5,10,63,126,300,85,97.7352752880922,45.49455825864276,98.51152368758002,87.71606914212549,85.72343149807938,97.16709346991037,98.54353393085788,98.77560819462228,96.05473751600512,69.07810499359796,87.47999359795135
41.177829614308855,-8.691273047620209,12,0,16,3,7,10,68,130,328,97,97.7352752880922,45.49455825864276,98.86363636363636,87.71606914212549,92.61363636363636,97.16709346991037,98.95166453265045,98.99167733674776,96.62291933418695,77.64084507042254,89.17973751600513
41.177826412446166,-8.690080815894301,12,0,18,3,7,10,71,132,337,107,97.7352752880922,45.49455825864276,99.47183098591549,87.71606914212549,92.61363636363636,97.16709346991037,99.13572343149808,99.0877080665813,96.73495518565942,83.01056338028168,89.8167413572343
41.17782319824276,-8.688888584361049,12,0,19,5,9,10,74,132,349,121,97.7352752880922,45.49455825864276,99.7039052496799,96.13476312419974,97.10307298335468,97.16709346991037,99.32778489116517,99.0877080665813,97.03905249679897,88.1802176696543,91.69734314980793
41.17781997169868,-8.687696353021192,12,0,21,6,8,10,73,130,361,129,97.7352752880922,45.49455825864276,99.95198463508322,98.37548015364916,95.15845070422534,97.16709346991037,99.22375160051217,98.99167733674776,97.39116517285531,90.32490396927017,91.98143405889884
41.17781673281391,-8.686504121875469,13,0,20,6,8,9,73,124,360,131,98.24743918053778,45.49455825864276,99.83194622279129,98.37548015364916,95.15845070422534,96.77496798975672,99.22375160051217,98.58354673495519,97.35915492957746,90.94910371318822,91.99983994878362
41.17781348158846,-8.685311890924625,15,0,18,6,8,8,72,115,356,129,98.99967989756722,45.49455825864276,99.47183098591549,98.37548015364916,95.15845070422534,96.4628681177977,99.15973111395647,98.19142125480154,97.24711907810499,90.32490396927017,91.88860435339308
41.17781021802234,-8.684119660169397,14,0,18,7,9,7,70,106,351,129,98.6235595390525,45.49455825864276,99.47183098591549,99.38380281690141,97.10307298335468,96.1667733674776,99.07970550576184,97.74327784891165,97.10307298335468,90.32490396927017,92.04945582586427
41.17780694211554,-8.68292742961053,14,0,18,7,12,6,64,97,322,141,98.6235595390525,45.49455825864276,99.47183098591549,99.38380281690141,99.79193341869397,95.75864276568502,98.61555697823303,97.44718309859155,96.50288092189501,92.94974391805377,92.40396927016644
41.17780365386809,-8.681735199248761,13,0,19,7,12,3,53,89,294,158,98.24743918053778,45.49455825864276,99.7039052496799,99.38380281690141,99.79193341869397,88.60435339308579,97.83130601792574,97.07106274007683,95.83866837387964,97.65524967989757,91.96222791293215
41.17780035328,-8.680542969084836,9,0,18,6,11,2,47,69,270,158,94.36619718309859,45.49455825864276,99.47183098591549,98.37548015364916,99.48783610755441,80.60979513444302,97.27912932138284,96.1427656850192,95.23847631241998,97.65524967989757,90.4121318822023
41.17779704035123,-8.679350739119492,6,0,15,5,9,1,42,44,269,142,85.59539052496798,45.49455825864276,98.51152368758002,96.13476312419974,97.10307298335468,64.7887323943662,96.86299615877081,93.31786171574905,95.19846350832266,93.22183098591549,86.62291933418695
41.17779371508184,-8.678158509353471,6,1,12,2,10,1,35,28,268,148,85.59539052496798,94.15012804097312,97.5192061459667,81.25800256081946,98.57554417413571,64.7887323943662,96.21478873239437,90.50896286811779,95.15845070422534,94.76632522407171,89.85355313700384
41.17779037747181,-8.676966279787516,8,1,13,2,10,2,34,25,287,136,92.78969270166453,94.15012804097312,97.91133162612036,81.25800256081946,98.57554417413571,80.60979513444302,96.11875800256082,88.10819462227913,95.71862996158771,92.03745198463508,91.72775288092188
