place_name,lat,lon,sun_04,sun_05,sun_06,sun_07,sun_08,sun_09,sun_10,sun_11,sun_12,sun_13,sun_14,sun_15,sun_16,sun_17,sun_18,sun_19,sun_20,sun_21,sun_22,sun_23,sun_00,sun_01,sun_02,sun_03,mon_04,mon_05,mon_06,mon_07,mon_08,mon_09,mon_10,mon_11,mon_12,mon_13,mon_14,mon_15,mon_16,mon_17,mon_18,mon_19,mon_20,mon_21,mon_22,mon_23,mon_00,mon_01,mon_02,mon_03,tue_04,tue_05,tue_06,tue_07,tue_08,tue_09,tue_10,tue_11,tue_12,tue_13,tue_14,tue_15,tue_16,tue_17,tue_18,tue_19,tue_20,tue_21,tue_22,tue_23,tue_00,tue_01,tue_02,tue_03,wed_04,wed_05,wed_06,wed_07,wed_08,wed_09,wed_10,wed_11,wed_12,wed_13,wed_14,wed_15,wed_16,wed_17,wed_18,wed_19,wed_20,wed_21,wed_22,wed_23,wed_00,wed_01,wed_02,wed_03,thu_04,thu_05,thu_06,thu_07,thu_08,thu_09,thu_10,thu_11,thu_12,thu_13,thu_14,thu_15,thu_16,thu_17,thu_18,thu_19,thu_20,thu_21,thu_22,thu_23,thu_00,thu_01,thu_02,thu_03,fri_04,fri_05,fri_06,fri_07,fri_08,fri_09,fri_10,fri_11,fri_12,fri_13,fri_14,fri_15,fri_16,fri_17,fri_18,fri_19,fri_20,fri_21,fri_22,fri_23,fri_00,fri_01,fri_02,fri_03,sat_04,sat_05,sat_06,sat_07,sat_08,sat_09,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_00,sat_01,sat_02,sat_03
Farrapas,41.22174264583861,-8.681368048253137,31.0,26.0,31.0,26.0,15.0,31.0,31.0,36.0,42.0,26.0,36.0,21.0,31.0,26.0,36.0,57.0,31.0,42.0,42.0,47.0,36.0,21.0,26.0,31.0,47.0,57.0,52.0,68.0,52.0,52.0,42.0,52.0,42.0,36.0,26.0,36.0,52.0,47.0,36.0,31.0,31.0,31.0,31.0,36.0,26.0,15.0,10.0,21.0,42.0,52.0,89.0,57.0,63.0,31.0,21.0,10.0,5.0,10.0,26.0,26.0,21.0,36.0,36.0,36.0,26.0,31.0,31.0,42.0,42.0,57.0,36.0,31.0,26.0,42.0,47.0,89.0,57.0,63.0,26.0,26.0,15.0,15.0,21.0,31.0,42.0,15.0,21.0,21.0,36.0,31.0,26.0,15.0,10.0,10.0,10.0,10.0,36.0,52.0,36.0,31.0,15.0,26.0,21.0,42.0,36.0,31.0,15.0,21.0,21.0,31.0,31.0,52.0,52.0,47.0,68.0,89.0,100.0,68.0,42.0,36.0,21.0,36.0,42.0,52.0,47.0,52.0,52.0,47.0,52.0,52.0,68.0,42.0,26.0,15.0,21.0,26.0,26.0,21.0,26.0,21.0,26.0,31.0,36.0,21.0,31.0,15.0,21.0,31.0,73.0,68.0,52.0,47.0,47.0,47.0,36.0,36.0,26.0,31.0,36.0,36.0,31.0,36.0,31.0,47.0,36.0,47.0,36.0,47.0
Rua Guilherme Jedim,41.2185884589937,-8.676689360691125,25.0,25.0,31.0,31.0,43.0,37.0,43.0,25.0,31.0,43.0,62.0,87.0,62.0,81.0,56.0,56.0,43.0,18.0,18.0,25.0,25.0,25.0,25.0,12.0,50.0,25.0,6.0,12.0,25.0,62.0,62.0,43.0,50.0,31.0,25.0,25.0,25.0,25.0,31.0,43.0,37.0,56.0,43.0,25.0,25.0,31.0,43.0,75.0,43.0,56.0,25.0,12.0,0.0,6.0,6.0,18.0,25.0,18.0,25.0,43.0,37.0,31.0,12.0,6.0,18.0,43.0,50.0,50.0,56.0,50.0,68.0,37.0,25.0,25.0,18.0,25.0,43.0,37.0,50.0,50.0,62.0,31.0,18.0,25.0,18.0,31.0,25.0,31.0,56.0,62.0,50.0,25.0,12.0,25.0,31.0,25.0,25.0,43.0,50.0,37.0,37.0,31.0,25.0,12.0,6.0,18.0,43.0,56.0,43.0,31.0,25.0,56.0,87.0,100.0,68.0,43.0,31.0,31.0,25.0,25.0,18.0,43.0,37.0,43.0,31.0,43.0,50.0,43.0,50.0,43.0,56.0,68.0,56.0,37.0,37.0,37.0,62.0,56.0,56.0,43.0,37.0,50.0,25.0,25.0,37.0,37.0,25.0,18.0,43.0,75.0,75.0,62.0,50.0,43.0,37.0,37.0,31.0,25.0,25.0,25.0,25.0,18.0,12.0,12.0,6.0,6.0,18.0,18.0
Rua da Cruz,41.2533777729092,-8.70677525333283,61.0,53.0,38.0,38.0,46.0,46.0,30.0,23.0,23.0,23.0,38.0,30.0,30.0,15.0,23.0,30.0,38.0,30.0,53.0,69.0,53.0,30.0,30.0,61.0,69.0,61.0,46.0,46.0,69.0,61.0,61.0,23.0,30.0,46.0,76.0,84.0,92.0,76.0,61.0,38.0,23.0,46.0,38.0,30.0,46.0,46.0,76.0,53.0,46.0,23.0,23.0,61.0,100.0,84.0,76.0,46.0,61.0,53.0,76.0,69.0,61.0,61.0,46.0,53.0,46.0,46.0,30.0,61.0,76.0,76.0,69.0,84.0,15.0,30.0,15.0,30.0,46.0,69.0,69.0,69.0,46.0,53.0,46.0,69.0,61.0,69.0,69.0,84.0,61.0,46.0,38.0,69.0,69.0,38.0,23.0,23.0,23.0,23.0,46.0,46.0,76.0,69.0,69.0,53.0,61.0,46.0,38.0,15.0,30.0,61.0,84.0,92.0,46.0,46.0,46.0,38.0,46.0,46.0,30.0,23.0,30.0,30.0,38.0,46.0,30.0,53.0,61.0,69.0,46.0,38.0,38.0,53.0,38.0,38.0,30.0,7.0,15.0,15.0,15.0,15.0,15.0,30.0,23.0,38.0,7.0,23.0,38.0,61.0,69.0,53.0,30.0,38.0,53.0,69.0,61.0,61.0,46.0,61.0,100.0,69.0,69.0,53.0,61.0,61.0,53.0,53.0,38.0,30.0
S. Pedro,41.18514556886446,-8.69405239071433,93.0,53.0,46.0,33.0,46.0,60.0,66.0,46.0,46.0,40.0,26.0,20.0,0.0,6.0,20.0,20.0,6.0,13.0,13.0,13.0,26.0,40.0,60.0,66.0,26.0,46.0,60.0,73.0,86.0,53.0,46.0,60.0,86.0,66.0,46.0,20.0,13.0,26.0,20.0,13.0,26.0,33.0,40.0,60.0,66.0,73.0,33.0,20.0,46.0,40.0,40.0,26.0,6.0,6.0,13.0,20.0,33.0,73.0,93.0,100.0,73.0,53.0,46.0,60.0,80.0,53.0,40.0,26.0,33.0,26.0,40.0,46.0,40.0,33.0,46.0,26.0,13.0,20.0,26.0,33.0,33.0,20.0,26.0,26.0,26.0,40.0,40.0,33.0,26.0,26.0,20.0,33.0,33.0,33.0,33.0,40.0,46.0,26.0,40.0,26.0,13.0,6.0,13.0,40.0,46.0,46.0,26.0,13.0,0.0,13.0,26.0,26.0,26.0,60.0,86.0,93.0,80.0,73.0,66.0,46.0,13.0,13.0,0.0,6.0,26.0,40.0,46.0,40.0,46.0,66.0,53.0,33.0,40.0,20.0,26.0,26.0,20.0,6.0,13.0,13.0,13.0,13.0,13.0,6.0,26.0,26.0,33.0,46.0,66.0,66.0,53.0,26.0,33.0,33.0,33.0,13.0,13.0,13.0,40.0,46.0,60.0,53.0,46.0,33.0,33.0,20.0,13.0,13.0
,41.18143820117874,-8.690645244513409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezequiel Campos,41.21062009354039,-8.628883708312475,21.0,17.0,13.0,13.0,26.0,21.0,30.0,34.0,43.0,34.0,34.0,39.0,21.0,26.0,39.0,56.0,60.0,69.0,65.0,73.0,65.0,56.0,39.0,30.0,52.0,34.0,30.0,26.0,17.0,17.0,17.0,34.0,47.0,69.0,47.0,39.0,39.0,34.0,47.0,73.0,86.0,86.0,86.0,82.0,65.0,78.0,60.0,65.0,17.0,21.0,13.0,13.0,21.0,26.0,21.0,43.0,34.0,39.0,21.0,21.0,21.0,30.0,43.0,60.0,91.0,91.0,60.0,43.0,30.0,30.0,17.0,17.0,8.0,4.0,13.0,34.0,52.0,52.0,60.0,47.0,56.0,56.0,65.0,34.0,21.0,17.0,43.0,73.0,95.0,91.0,78.0,52.0,30.0,30.0,30.0,26.0,17.0,34.0,43.0,39.0,43.0,34.0,26.0,21.0,30.0,34.0,47.0,47.0,43.0,47.0,47.0,43.0,65.0,78.0,100.0,91.0,56.0,34.0,21.0,13.0,39.0,34.0,34.0,26.0,26.0,21.0,21.0,21.0,21.0,26.0,21.0,13.0,17.0,34.0,65.0,65.0,78.0,82.0,86.0,82.0,78.0,73.0,65.0,52.0,39.0,47.0,52.0,30.0,30.0,26.0,17.0,17.0,17.0,21.0,21.0,39.0,39.0,26.0,34.0,47.0,56.0,65.0,47.0,34.0,17.0,26.0,26.0,30.0
Ezequiel Campos,41.21052771834436,-8.6288972071794,15.0,30.0,35.0,30.0,25.0,20.0,25.0,10.0,20.0,35.0,55.0,70.0,75.0,80.0,85.0,70.0,50.0,50.0,30.0,35.0,30.0,45.0,30.0,25.0,25.0,25.0,25.0,25.0,40.0,35.0,55.0,70.0,80.0,55.0,40.0,55.0,45.0,50.0,50.0,75.0,50.0,40.0,35.0,40.0,40.0,50.0,25.0,30.0,20.0,15.0,20.0,25.0,40.0,40.0,30.0,15.0,10.0,20.0,15.0,15.0,20.0,30.0,35.0,30.0,30.0,35.0,55.0,55.0,50.0,35.0,40.0,25.0,15.0,25.0,35.0,55.0,50.0,45.0,40.0,45.0,65.0,65.0,75.0,45.0,45.0,40.0,55.0,60.0,45.0,45.0,35.0,45.0,40.0,25.0,15.0,20.0,50.0,50.0,55.0,40.0,40.0,20.0,15.0,30.0,45.0,55.0,75.0,80.0,50.0,45.0,35.0,20.0,15.0,15.0,25.0,35.0,20.0,25.0,25.0,35.0,50.0,55.0,50.0,55.0,75.0,100.0,85.0,60.0,45.0,40.0,45.0,35.0,25.0,25.0,25.0,25.0,35.0,40.0,40.0,30.0,25.0,25.0,30.0,50.0,5.0,15.0,30.0,50.0,35.0,20.0,25.0,25.0,40.0,30.0,30.0,10.0,5.0,5.0,15.0,35.0,50.0,35.0,25.0,25.0,25.0,30.0,25.0,20.0
Cristóvão Cernache,41.20776758257566,-8.6226644259016,56.0,62.0,81.0,56.0,31.0,18.0,50.0,81.0,93.0,68.0,68.0,50.0,62.0,43.0,43.0,31.0,18.0,12.0,31.0,56.0,87.0,81.0,87.0,62.0,68.0,50.0,37.0,18.0,18.0,25.0,18.0,31.0,37.0,62.0,56.0,68.0,50.0,75.0,87.0,62.0,50.0,25.0,37.0,31.0,37.0,62.0,100.0,81.0,31.0,31.0,18.0,18.0,18.0,31.0,31.0,37.0,18.0,6.0,0.0,12.0,25.0,31.0,37.0,37.0,37.0,37.0,31.0,37.0,31.0,31.0,31.0,31.0,50.0,62.0,50.0,43.0,31.0,37.0,43.0,37.0,50.0,43.0,62.0,43.0,37.0,31.0,31.0,37.0,18.0,12.0,18.0,31.0,43.0,37.0,37.0,31.0,31.0,18.0,12.0,12.0,31.0,25.0,31.0,56.0,75.0,93.0,81.0,68.0,68.0,56.0,43.0,31.0,18.0,18.0,25.0,50.0,56.0,43.0,31.0,18.0,56.0,50.0,37.0,18.0,31.0,37.0,56.0,50.0,62.0,75.0,75.0,75.0,50.0,25.0,12.0,6.0,18.0,25.0,37.0,25.0,12.0,12.0,37.0,56.0,12.0,12.0,18.0,25.0,37.0,25.0,18.0,43.0,62.0,56.0,62.0,50.0,50.0,37.0,37.0,43.0,43.0,50.0,37.0,43.0,31.0,25.0,25.0,18.0
Cristóvão Cernache,41.20765932860554,-8.622725043104706,25.0,37.0,25.0,25.0,50.0,68.0,100.0,62.0,37.0,18.0,31.0,37.0,43.0,37.0,43.0,25.0,31.0,43.0,31.0,18.0,18.0,25.0,37.0,25.0,31.0,43.0,37.0,43.0,43.0,56.0,43.0,43.0,37.0,12.0,12.0,18.0,25.0,18.0,37.0,50.0,87.0,56.0,37.0,6.0,6.0,18.0,25.0,18.0,50.0,31.0,25.0,25.0,37.0,31.0,37.0,25.0,25.0,25.0,43.0,50.0,50.0,50.0,31.0,25.0,31.0,75.0,62.0,43.0,25.0,31.0,50.0,75.0,37.0,31.0,37.0,31.0,50.0,37.0,43.0,62.0,37.0,25.0,25.0,43.0,56.0,37.0,25.0,18.0,12.0,25.0,43.0,43.0,31.0,18.0,12.0,25.0,31.0,43.0,18.0,18.0,25.0,50.0,37.0,43.0,50.0,68.0,43.0,43.0,37.0,37.0,25.0,31.0,25.0,25.0,25.0,50.0,56.0,75.0,62.0,43.0,50.0,37.0,25.0,12.0,6.0,18.0,37.0,56.0,43.0,50.0,25.0,12.0,6.0,18.0,18.0,31.0,43.0,37.0,31.0,37.0,62.0,68.0,81.0,56.0,25.0,50.0,68.0,62.0,31.0,37.0,43.0,56.0,75.0,43.0,18.0,6.0,25.0,25.0,31.0,25.0,25.0,43.0,43.0,25.0,18.0,18.0,12.0,18.0
Ofélia Cruz Costa,41.25436241113028,-8.721000779235045,33.0,40.0,80.0,46.0,33.0,33.0,46.0,20.0,13.0,26.0,26.0,46.0,40.0,26.0,20.0,40.0,60.0,53.0,33.0,40.0,33.0,26.0,33.0,33.0,60.0,53.0,20.0,13.0,20.0,13.0,6.0,13.0,20.0,20.0,26.0,33.0,33.0,40.0,53.0,80.0,60.0,46.0,33.0,46.0,46.0,26.0,26.0,53.0,6.0,13.0,20.0,26.0,33.0,60.0,66.0,86.0,46.0,53.0,26.0,26.0,33.0,60.0,40.0,46.0,60.0,60.0,73.0,46.0,40.0,33.0,20.0,13.0,40.0,46.0,53.0,46.0,26.0,13.0,13.0,33.0,13.0,13.0,20.0,20.0,20.0,20.0,53.0,46.0,53.0,40.0,60.0,60.0,73.0,46.0,33.0,26.0,26.0,26.0,46.0,60.0,53.0,40.0,60.0,53.0,53.0,40.0,33.0,20.0,33.0,33.0,26.0,13.0,40.0,40.0,53.0,60.0,73.0,66.0,66.0,40.0,66.0,53.0,40.0,40.0,33.0,33.0,40.0,73.0,93.0,100.0,73.0,40.0,26.0,53.0,46.0,46.0,46.0,46.0,40.0,40.0,33.0,40.0,46.0,46.0,26.0,33.0,40.0,66.0,66.0,80.0,60.0,40.0,26.0,20.0,13.0,26.0,20.0,13.0,20.0,33.0,40.0,53.0,40.0,26.0,20.0,13.0,13.0,26.0
Ten. Francisco Silva,41.2520816276153,-8.719502525433992,41.0,25.0,33.0,33.0,33.0,8.0,0.0,8.0,25.0,25.0,33.0,41.0,50.0,41.0,50.0,75.0,58.0,91.0,58.0,41.0,25.0,33.0,50.0,58.0,25.0,41.0,50.0,41.0,16.0,16.0,8.0,16.0,16.0,16.0,33.0,58.0,75.0,66.0,83.0,66.0,91.0,66.0,50.0,33.0,50.0,50.0,25.0,33.0,0.0,8.0,25.0,33.0,33.0,33.0,25.0,25.0,41.0,58.0,66.0,66.0,66.0,66.0,83.0,41.0,41.0,41.0,100.0,100.0,83.0,33.0,25.0,8.0,50.0,41.0,25.0,25.0,33.0,50.0,33.0,16.0,16.0,33.0,33.0,8.0,8.0,33.0,33.0,33.0,33.0,50.0,50.0,50.0,50.0,50.0,66.0,66.0,50.0,50.0,66.0,58.0,41.0,25.0,25.0,25.0,33.0,50.0,50.0,66.0,75.0,75.0,58.0,41.0,33.0,41.0,50.0,41.0,41.0,58.0,75.0,58.0,33.0,41.0,66.0,66.0,58.0,50.0,50.0,41.0,25.0,25.0,41.0,41.0,66.0,66.0,66.0,50.0,25.0,25.0,16.0,25.0,33.0,41.0,50.0,33.0,41.0,41.0,41.0,41.0,41.0,50.0,25.0,16.0,25.0,8.0,25.0,33.0,58.0,50.0,83.0,58.0,58.0,41.0,50.0,50.0,33.0,16.0,25.0,33.0
Ten. Francisco Silva,41.25200848172349,-8.719609918285244,58.0,47.0,35.0,41.0,41.0,47.0,35.0,29.0,29.0,35.0,47.0,47.0,58.0,41.0,11.0,0.0,5.0,23.0,47.0,58.0,58.0,58.0,64.0,70.0,35.0,47.0,52.0,41.0,23.0,35.0,47.0,29.0,29.0,41.0,52.0,52.0,29.0,17.0,11.0,11.0,17.0,17.0,23.0,23.0,17.0,29.0,11.0,17.0,23.0,5.0,23.0,41.0,47.0,70.0,64.0,58.0,29.0,29.0,29.0,29.0,41.0,35.0,41.0,47.0,41.0,23.0,29.0,29.0,58.0,47.0,70.0,41.0,23.0,29.0,52.0,64.0,41.0,23.0,11.0,23.0,23.0,41.0,23.0,23.0,23.0,35.0,52.0,41.0,47.0,23.0,17.0,11.0,17.0,17.0,11.0,17.0,52.0,47.0,35.0,47.0,35.0,35.0,41.0,64.0,64.0,52.0,70.0,70.0,76.0,70.0,100.0,82.0,58.0,23.0,17.0,35.0,58.0,41.0,35.0,41.0,11.0,5.0,11.0,11.0,41.0,35.0,41.0,17.0,23.0,35.0,23.0,5.0,5.0,17.0,23.0,29.0,41.0,47.0,41.0,47.0,23.0,35.0,23.0,29.0,35.0,23.0,35.0,47.0,29.0,35.0,29.0,35.0,29.0,35.0,35.0,29.0,11.0,29.0,52.0,70.0,52.0,47.0,41.0,52.0,52.0,29.0,23.0,29.0
Prof. Maria do Carmo Freire,41.24905364886501,-8.719055738717193,23.0,30.0,53.0,38.0,38.0,46.0,61.0,38.0,46.0,38.0,30.0,7.0,7.0,23.0,38.0,46.0,53.0,46.0,46.0,46.0,38.0,23.0,23.0,15.0,53.0,69.0,76.0,46.0,46.0,30.0,38.0,53.0,61.0,76.0,69.0,53.0,38.0,38.0,30.0,15.0,15.0,15.0,30.0,53.0,30.0,23.0,23.0,53.0,61.0,53.0,61.0,61.0,61.0,46.0,46.0,30.0,23.0,38.0,38.0,53.0,61.0,69.0,53.0,38.0,46.0,38.0,46.0,23.0,38.0,30.0,53.0,53.0,30.0,38.0,46.0,30.0,23.0,23.0,38.0,46.0,61.0,46.0,30.0,38.0,38.0,38.0,30.0,53.0,53.0,46.0,15.0,7.0,30.0,46.0,38.0,46.0,38.0,46.0,69.0,46.0,46.0,53.0,53.0,53.0,53.0,46.0,46.0,23.0,23.0,30.0,23.0,15.0,23.0,30.0,30.0,23.0,30.0,23.0,30.0,30.0,38.0,38.0,38.0,30.0,69.0,84.0,76.0,53.0,38.0,46.0,38.0,30.0,15.0,7.0,30.0,30.0,46.0,53.0,69.0,46.0,46.0,53.0,46.0,61.0,38.0,61.0,100.0,69.0,30.0,23.0,30.0,46.0,30.0,38.0,30.0,23.0,30.0,23.0,30.0,38.0,30.0,15.0,15.0,23.0,61.0,76.0,76.0,38.0
Prof. Maria do Carmo Freire,41.24887355073126,-8.718960378246729,33.0,26.0,13.0,20.0,46.0,40.0,13.0,6.0,20.0,33.0,53.0,33.0,13.0,13.0,20.0,26.0,40.0,26.0,13.0,13.0,26.0,60.0,53.0,73.0,46.0,40.0,26.0,46.0,40.0,46.0,33.0,26.0,33.0,40.0,26.0,26.0,33.0,66.0,60.0,93.0,73.0,86.0,53.0,33.0,13.0,20.0,53.0,33.0,40.0,46.0,73.0,53.0,20.0,6.0,20.0,26.0,26.0,33.0,40.0,66.0,93.0,86.0,66.0,46.0,33.0,20.0,33.0,26.0,53.0,73.0,73.0,40.0,40.0,33.0,13.0,0.0,20.0,40.0,60.0,66.0,60.0,40.0,20.0,26.0,26.0,46.0,46.0,33.0,33.0,20.0,33.0,26.0,33.0,33.0,46.0,33.0,66.0,53.0,73.0,40.0,46.0,40.0,26.0,20.0,20.0,20.0,33.0,40.0,60.0,73.0,100.0,80.0,60.0,40.0,13.0,13.0,20.0,26.0,40.0,53.0,26.0,20.0,40.0,73.0,66.0,40.0,26.0,20.0,46.0,20.0,20.0,26.0,40.0,33.0,60.0,46.0,40.0,60.0,46.0,40.0,6.0,13.0,20.0,26.0,26.0,33.0,13.0,20.0,20.0,53.0,53.0,46.0,46.0,73.0,53.0,60.0,40.0,73.0,73.0,80.0,60.0,66.0,60.0,60.0,46.0,26.0,6.0,13.0
Padre Amaro,41.24809020712709,-8.71849662187014,93.0,73.0,53.0,66.0,60.0,46.0,26.0,20.0,20.0,26.0,40.0,53.0,60.0,53.0,26.0,33.0,46.0,66.0,80.0,66.0,33.0,46.0,60.0,100.0,53.0,40.0,26.0,33.0,60.0,80.0,73.0,86.0,60.0,46.0,26.0,20.0,13.0,13.0,20.0,26.0,26.0,26.0,46.0,66.0,40.0,40.0,53.0,73.0,13.0,20.0,20.0,26.0,20.0,6.0,0.0,6.0,13.0,13.0,0.0,13.0,33.0,73.0,80.0,73.0,46.0,26.0,20.0,26.0,20.0,40.0,40.0,40.0,73.0,60.0,33.0,20.0,13.0,13.0,0.0,0.0,20.0,33.0,40.0,33.0,26.0,26.0,46.0,86.0,73.0,73.0,53.0,33.0,26.0,26.0,40.0,66.0,40.0,33.0,40.0,46.0,40.0,20.0,0.0,13.0,20.0,26.0,40.0,46.0,46.0,33.0,26.0,13.0,20.0,40.0,53.0,46.0,73.0,60.0,66.0,46.0,66.0,86.0,86.0,73.0,73.0,40.0,20.0,20.0,46.0,86.0,46.0,26.0,6.0,20.0,53.0,80.0,66.0,46.0,26.0,26.0,6.0,6.0,26.0,46.0,33.0,26.0,26.0,33.0,26.0,6.0,13.0,20.0,26.0,26.0,33.0,46.0,66.0,40.0,20.0,20.0,26.0,40.0,33.0,33.0,26.0,46.0,73.0,66.0
Padre Amaro,41.24805203775932,-8.718740917428887,38.0,27.0,16.0,22.0,44.0,44.0,38.0,27.0,44.0,50.0,55.0,38.0,44.0,22.0,22.0,22.0,33.0,22.0,38.0,27.0,16.0,16.0,27.0,38.0,33.0,33.0,33.0,38.0,77.0,66.0,55.0,38.0,44.0,33.0,27.0,22.0,5.0,11.0,27.0,33.0,55.0,83.0,100.0,88.0,61.0,50.0,44.0,27.0,16.0,16.0,33.0,44.0,50.0,33.0,33.0,38.0,38.0,38.0,33.0,44.0,33.0,33.0,33.0,33.0,22.0,44.0,44.0,50.0,38.0,33.0,33.0,22.0,22.0,38.0,38.0,44.0,38.0,27.0,38.0,38.0,50.0,38.0,27.0,16.0,38.0,33.0,55.0,33.0,33.0,38.0,33.0,33.0,11.0,16.0,22.0,33.0,38.0,33.0,33.0,22.0,22.0,5.0,5.0,22.0,44.0,44.0,38.0,50.0,61.0,44.0,27.0,11.0,16.0,27.0,33.0,27.0,11.0,22.0,27.0,33.0,44.0,27.0,22.0,22.0,33.0,27.0,33.0,38.0,55.0,50.0,27.0,22.0,33.0,27.0,27.0,16.0,16.0,11.0,0.0,5.0,16.0,22.0,44.0,38.0,11.0,16.0,11.0,27.0,50.0,55.0,38.0,33.0,33.0,33.0,38.0,27.0,38.0,50.0,66.0,44.0,33.0,33.0,38.0,38.0,27.0,33.0,16.0,11.0
Praia do Marreco,41.23717291826626,-8.72221481666057,21.0,14.0,35.0,42.0,42.0,42.0,64.0,57.0,64.0,85.0,78.0,50.0,50.0,57.0,57.0,57.0,64.0,50.0,42.0,64.0,64.0,57.0,35.0,14.0,14.0,0.0,7.0,14.0,28.0,14.0,35.0,50.0,78.0,57.0,71.0,57.0,42.0,21.0,28.0,42.0,57.0,42.0,42.0,42.0,50.0,21.0,21.0,21.0,21.0,28.0,35.0,35.0,50.0,28.0,21.0,35.0,50.0,50.0,50.0,50.0,64.0,64.0,64.0,50.0,21.0,14.0,21.0,42.0,57.0,57.0,42.0,28.0,28.0,50.0,78.0,71.0,78.0,57.0,57.0,50.0,85.0,71.0,42.0,28.0,21.0,21.0,21.0,28.0,28.0,35.0,42.0,57.0,35.0,21.0,28.0,21.0,42.0,57.0,85.0,78.0,71.0,57.0,50.0,50.0,78.0,92.0,85.0,71.0,57.0,42.0,42.0,28.0,35.0,14.0,14.0,28.0,28.0,28.0,35.0,35.0,57.0,57.0,50.0,50.0,28.0,14.0,21.0,35.0,35.0,35.0,50.0,42.0,64.0,92.0,100.0,85.0,50.0,28.0,28.0,21.0,21.0,28.0,50.0,64.0,35.0,28.0,21.0,21.0,14.0,14.0,14.0,14.0,7.0,7.0,14.0,42.0,42.0,42.0,57.0,42.0,35.0,28.0,21.0,14.0,14.0,35.0,57.0,50.0
Rua da Seara,41.18785319536862,-8.67402414656644,60.0,46.0,33.0,46.0,60.0,66.0,60.0,46.0,46.0,33.0,40.0,40.0,33.0,26.0,26.0,40.0,60.0,53.0,66.0,53.0,60.0,53.0,60.0,60.0,20.0,46.0,46.0,66.0,46.0,33.0,6.0,0.0,6.0,13.0,26.0,46.0,46.0,53.0,60.0,40.0,40.0,26.0,33.0,33.0,26.0,46.0,40.0,33.0,40.0,53.0,40.0,33.0,20.0,26.0,26.0,33.0,33.0,40.0,26.0,33.0,40.0,66.0,73.0,53.0,53.0,46.0,66.0,40.0,13.0,6.0,26.0,46.0,40.0,33.0,33.0,26.0,13.0,13.0,33.0,53.0,46.0,46.0,33.0,40.0,33.0,26.0,33.0,26.0,46.0,33.0,26.0,13.0,20.0,26.0,40.0,26.0,80.0,80.0,66.0,60.0,40.0,33.0,33.0,26.0,20.0,20.0,26.0,20.0,26.0,40.0,33.0,26.0,6.0,6.0,6.0,0.0,0.0,0.0,20.0,46.0,20.0,26.0,26.0,40.0,40.0,40.0,46.0,60.0,46.0,53.0,40.0,33.0,33.0,33.0,13.0,26.0,40.0,60.0,46.0,46.0,33.0,33.0,20.0,20.0,60.0,46.0,53.0,40.0,26.0,53.0,86.0,100.0,60.0,66.0,73.0,66.0,33.0,20.0,33.0,73.0,100.0,73.0,66.0,60.0,73.0,53.0,40.0,53.0
Avilhoso,41.247152288693805,-8.70156450249349,18.0,13.0,4.0,13.0,13.0,9.0,4.0,18.0,18.0,18.0,18.0,22.0,31.0,31.0,27.0,13.0,0.0,9.0,18.0,22.0,13.0,18.0,13.0,22.0,27.0,31.0,18.0,13.0,9.0,9.0,22.0,27.0,36.0,36.0,36.0,40.0,50.0,36.0,50.0,31.0,40.0,40.0,59.0,68.0,50.0,27.0,22.0,18.0,13.0,9.0,13.0,13.0,13.0,13.0,18.0,13.0,22.0,18.0,18.0,27.0,36.0,59.0,81.0,72.0,59.0,45.0,31.0,40.0,36.0,13.0,9.0,18.0,36.0,45.0,50.0,54.0,54.0,63.0,54.0,31.0,18.0,22.0,50.0,72.0,100.0,68.0,40.0,22.0,31.0,31.0,13.0,4.0,4.0,13.0,27.0,27.0,22.0,18.0,31.0,27.0,22.0,27.0,36.0,40.0,31.0,36.0,27.0,31.0,50.0,36.0,31.0,18.0,13.0,13.0,31.0,36.0,36.0,45.0,50.0,36.0,18.0,4.0,4.0,18.0,31.0,31.0,27.0,18.0,4.0,4.0,18.0,18.0,13.0,22.0,31.0,27.0,27.0,27.0,22.0,27.0,31.0,27.0,13.0,18.0,36.0,22.0,27.0,27.0,36.0,27.0,36.0,27.0,36.0,36.0,31.0,31.0,27.0,22.0,13.0,9.0,9.0,4.0,9.0,13.0,22.0,31.0,45.0,40.0
